,mae_name,C,gamma,tol,eps,mae
212,SVR_0.05_0.001_0.001_1e-05,0.05,0.00001,0.00100,0.00001,0.0001808776549911510
352,SVR_0.5_0.001_0.001_1e-05,0.5,0.00001,0.00100,0.00001,0.0001808776549912400
492,SVR_5.0_0.001_0.001_1e-05,5,0.00001,0.00100,0.00001,0.0001808776549912400
632,SVR_50.0_0.001_0.001_1e-05,50,0.00001,0.00100,0.00001,0.0001808776550011430
420,SVR_5.0_1e-05_1e-07_1e-05,5,0.00001,0.00000,0.00001,0.0001816888200913520
281,SVR_0.5_1e-05_1e-07_0.0001,0.5,0.00001,0.00000,0.00010,0.0001816910643393840
285,SVR_0.5_1e-05_1e-06_0.0001,0.5,0.00001,0.00000,0.00010,0.0001819458431337120
569,SVR_50.0_1e-05_9.999999999999999e-06_0.0001,50,0.00001,0.00001,0.00010,0.0001823208736061230
564,SVR_50.0_1e-05_1e-06_1e-05,50,0.00001,0.00000,0.00001,0.0001829836600531820
560,SVR_50.0_1e-05_1e-07_1e-05,50,0.00001,0.00000,0.00001,0.0001830626663437580
432,SVR_5.0_1e-05_9.999999999999999e-05_1e-05,5,0.00001,0.00010,0.00001,0.0001837422560359680
289,SVR_0.5_1e-05_9.999999999999999e-06_0.0001,0.5,0.00001,0.00001,0.00010,0.0001844678539507420
568,SVR_50.0_1e-05_9.999999999999999e-06_1e-05,50,0.00001,0.00001,0.00001,0.0001849245374251120
177,SVR_0.05_0.0001_9.999999999999999e-06_0.0001,0.05,0.00001,0.00001,0.00010,0.0001884146763882370
169,SVR_0.05_0.0001_1e-07_0.0001,0.05,0.00001,0.00000,0.00010,0.0001885561224034490
736,SVR_500.0_0.0001_9.999999999999999e-06_1e-05,500,0.00001,0.00001,0.00001,0.0001885579806083720
173,SVR_0.05_0.0001_1e-06_0.0001,0.05,0.00001,0.00000,0.00010,0.0001886078170704850
732,SVR_500.0_0.0001_1e-06_1e-05,500,0.00001,0.00000,0.00001,0.0001894451261282180
728,SVR_500.0_0.0001_1e-07_1e-05,500,0.00001,0.00000,0.00001,0.0001895459289429350
712,SVR_500.0_1e-05_9.999999999999999e-05_1e-05,500,0.00001,0.00010,0.00001,0.0001895978472954410
573,SVR_50.0_1e-05_9.999999999999999e-05_0.0001,50,0.00001,0.00010,0.00010,0.0001903835822065320
344,SVR_0.5_0.001_9.999999999999999e-06_1e-05,0.5,0.00001,0.00001,0.00001,0.0001910084303903490
204,SVR_0.05_0.001_9.999999999999999e-06_1e-05,0.05,0.00001,0.00001,0.00001,0.0001910084303903930
484,SVR_5.0_0.001_9.999999999999999e-06_1e-05,5,0.00001,0.00001,0.00001,0.0001910084303931020
624,SVR_50.0_0.001_9.999999999999999e-06_1e-05,50,0.00001,0.00001,0.00001,0.0001910084304044260
764,SVR_500.0_0.001_9.999999999999999e-06_1e-05,500,0.00001,0.00001,0.00001,0.0001910084304947980
340,SVR_0.5_0.001_1e-06_1e-05,0.5,0.00001,0.00000,0.00001,0.0001932453064910520
200,SVR_0.05_0.001_1e-06_1e-05,0.05,0.00001,0.00000,0.00001,0.0001932453064912290
480,SVR_5.0_0.001_1e-06_1e-05,5,0.00001,0.00000,0.00001,0.0001932453064925620
760,SVR_500.0_0.001_1e-06_1e-05,500,0.00001,0.00000,0.00001,0.0001932453064965580
620,SVR_50.0_0.001_1e-06_1e-05,50,0.00001,0.00000,0.00001,0.0001932453065028200
336,SVR_0.5_0.001_1e-07_1e-05,0.5,0.00001,0.00000,0.00001,0.0001932704818035530
196,SVR_0.05_0.001_1e-07_1e-05,0.05,0.00001,0.00000,0.00001,0.0001932704818036860
