mae_name,C,gamma,eps,tol,mae
SVR_0.017341529915832612_7.822642576269845e-06_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,7.822642576269845e-06,0.0010149592268982965,4.019454526140724e-08,23.22728260215407
SVR_0.017341529915832612_7.822642576269845e-06_0.002283658260521167_4.019454526140724e-08,0.017341529915832612,7.822642576269845e-06,0.002283658260521167,4.019454526140724e-08,23.227255183751417
SVR_0.017341529915832612_7.822642576269845e-06_0.005138231086172626_4.019454526140724e-08,0.017341529915832612,7.822642576269845e-06,0.005138231086172626,4.019454526140724e-08,23.227182165081093
SVR_0.017341529915832612_7.822642576269845e-06_0.0077073466292589396_4.019454526140724e-08,0.017341529915832612,7.822642576269845e-06,0.0077073466292589396,4.019454526140724e-08,23.227030509845967
SVR_0.017341529915832612_7.822642576269845e-06_0.011561019943888409_4.019454526140724e-08,0.017341529915832612,7.822642576269845e-06,0.011561019943888409,4.019454526140724e-08,23.226813111706047
SVR_0.017341529915832612_7.822642576269845e-06_0.017341529915832612_4.019454526140724e-08,0.017341529915832612,7.822642576269845e-06,0.017341529915832612,4.019454526140724e-08,23.226486620200976
SVR_0.017341529915832612_1.1733963864404768e-05_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,1.1733963864404768e-05,0.0010149592268982965,4.019454526140724e-08,23.220355729269862
SVR_0.017341529915832612_1.1733963864404768e-05_0.0034254873907817508_4.019454526140724e-08,0.017341529915832612,1.1733963864404768e-05,0.0034254873907817508,4.019454526140724e-08,23.220319956261218
SVR_0.017341529915832612_1.1733963864404768e-05_0.0077073466292589396_4.019454526140724e-08,0.017341529915832612,1.1733963864404768e-05,0.0077073466292589396,4.019454526140724e-08,23.220211418382895
SVR_0.017341529915832612_1.1733963864404768e-05_0.011561019943888409_4.019454526140724e-08,0.017341529915832612,1.1733963864404768e-05,0.011561019943888409,4.019454526140724e-08,23.219986067261697
SVR_0.017341529915832612_1.1733963864404768e-05_0.017341529915832612_4.019454526140724e-08,0.017341529915832612,1.1733963864404768e-05,0.017341529915832612,4.019454526140724e-08,23.219663213426095
SVR_0.017341529915832612_1.1733963864404768e-05_0.02601229487374892_4.019454526140724e-08,0.017341529915832612,1.1733963864404768e-05,0.02601229487374892,4.019454526140724e-08,23.219179069770426
SVR_0.017341529915832612_1.760094579660715e-05_0.0010149592268982965_4.019454526140724e-08,0.017341529915832612,1.760094579660715e-05,0.0010149592268982965,4.019454526140724e-08,23.21033979597725
