24.6,0,1.73443,1.434358279
24.6,50,1.73605,1.436308489
24.6,100,1.73780,1.438058804
24.6,130,1.73850,1.438643850
24.6,160,1.73920,1.439315136
24.6,190,1.73990,1.439784808
24.6,220,1.74095,1.441209371
24.6,250,1.74130,1.441588260
24.6,280,1.74200,1.442216300
24.6,310,1.74270,1.442959686
24.6,340,1.74375,1.443677813
24.6,370,1.74410,1.444215528
24.6,400,1.74480,1.445016720
24.6,430,1.74585,1.446139170
27.9,0,1.73500,1.435258300
27.9,50,1.73675,1.436678163
27.9,100,1.73850,1.438615080
27.9,130,1.73920,1.439084864
27.9,160,1.73990,1.440043990
27.9,190,1.74060,1.440715248
27.9,220,1.74130,1.441227935
27.9,250,1.74200,1.442259560
27.9,280,1.74270,1.442988540
27.9,310,1.74340,1.443616510
27.9,340,1.74410,1.444359938
27.9,370,1.74480,1.445088960
27.9,400,1.74550,1.445615640
27.9,430,1.74655,1.446434276
30.9,0,1.73605,1.436164884
30.9,50,1.73780,1.438087560
30.9,100,1.73920,1.439415880
30.9,130,1.74025,1.440509245
30.9,160,1.74060,1.440715248
30.9,190,1.74130,1.441559434
30.9,220,1.74235,1.442277883
30.9,250,1.74270,1.442959686
30.9,280,1.74340,1.443284528
30.9,310,1.74410,1.444359938
30.9,340,1.74480,1.445088960
30.9,370,1.74550,1.445716825
30.9,400,1.74620,1.446084304
30.9,430,1.74725,1.447177638
36.8,0,1.73815,1.438293815
36.8,50,1.73990,1.439828005
36.8,100,1.74130,1.441444130
36.8,130,1.74200,1.442288400
36.8,160,1.74270,1.442815416
36.8,190,1.74340,1.443284528
36.8,220,1.74445,1.444681112
36.8,250,1.74480,1.444944480
36.8,280,1.74550,1.445427725
36.8,310,1.74620,1.446344620
36.8,340,1.74725,1.447539450
36.8,370,1.74795,1.448094795
36.8,400,1.74865,1.448794865
36.8,430,1.74935,1.449567403
39.6,0,1.73990,1.439784808
39.6,50,1.74130,1.441588260
39.6,100,1.74340,1.443515472
39.6,130,1.74410,1.444027795
39.6,160,1.74480,1.444944480
39.6,190,1.74550,1.445644550
39.6,220,1.74585,1.445734332
39.6,250,1.74675,1.446894675
39.6,280,1.74710,1.447244710
39.6,310,1.74780,1.448017170
39.6,340,1.74850,1.448427575
39.6,370,1.74920,1.449344920
39.6,400,1.75025,1.450395025
39.6,430,1.75095,1.450877453
