24.6,0,1.43443,1.434358279
24.6,50,1.43605,1.436308489
24.6,100,1.4378,1.438058804
24.6,130,1.4385,1.43864385
24.6,160,1.4392,1.439315136
24.6,190,1.4399,1.439784808
24.6,220,1.44095,1.441209371
24.6,250,1.4413,1.44158826
24.6,280,1.442,1.4422163
24.6,310,1.4427,1.442959686
24.6,340,1.44375,1.443677813
24.6,370,1.4441,1.444215528
24.6,400,1.4448,1.44501672
24.6,430,1.44585,1.44613917
27.9,0,1.435,1.4352583
27.9,50,1.43675,1.436678163
27.9,100,1.4385,1.43861508
27.9,130,1.4392,1.439084864
27.9,160,1.4399,1.44004399
27.9,190,1.4406,1.440715248
27.9,220,1.4413,1.441227935
27.9,250,1.442,1.44225956
27.9,280,1.4427,1.44298854
27.9,310,1.4434,1.44361651
27.9,340,1.4441,1.444359938
27.9,370,1.4448,1.44508896
27.9,400,1.4455,1.44561564
27.9,430,1.44655,1.446434276
30.9,0,1.43605,1.436164884
30.9,50,1.4378,1.43808756
30.9,100,1.4392,1.43941588
30.9,130,1.44025,1.440509245
30.9,160,1.4406,1.440715248
30.9,190,1.4413,1.441559434
30.9,220,1.44235,1.442277883
30.9,250,1.4427,1.442959686
30.9,280,1.4434,1.443284528
30.9,310,1.4441,1.444359938
30.9,340,1.4448,1.44508896
30.9,370,1.4455,1.445716825
30.9,400,1.4462,1.446084304
30.9,430,1.44725,1.447177638
36.8,0,1.43815,1.438293815
36.8,50,1.4399,1.439828005
36.8,100,1.4413,1.44144413
36.8,130,1.442,1.4422884
36.8,160,1.4427,1.442815416
36.8,190,1.4434,1.443284528
36.8,220,1.44445,1.444681112
36.8,250,1.4448,1.44494448
36.8,280,1.4455,1.445427725
36.8,310,1.4462,1.44634462
36.8,340,1.44725,1.44753945
36.8,370,1.44795,1.448094795
36.8,400,1.44865,1.448794865
36.8,430,1.44935,1.449567403
39.6,0,1.4399,1.439784808
39.6,50,1.4413,1.44158826
39.6,100,1.4434,1.443515472
39.6,130,1.4441,1.444027795
39.6,160,1.4448,1.44494448
39.6,190,1.4455,1.44564455
39.6,220,1.44585,1.445734332
39.6,250,1.44675,1.446894675
39.6,280,1.4471,1.44724471
39.6,310,1.4478,1.44801717
39.6,340,1.4485,1.448427575
39.6,370,1.4492,1.44934492
39.6,400,1.45025,1.450395025
39.6,430,1.45095,1.450877453
